D,B,A,smiles,HOMO(eV),LUMO(eV),IP(eV),EA(eV),excE(eV),exc_osc(a.u.)
1,7,1,COc1c2cc(-c3ccc(-c4c(F)c(F)cc5nsnc45)cc3)sc2c(OC)c2ccsc12,-7.592000,-0.830000,5.128000,2.887000,3.933000,1.612000
6,4,1,Fc1cc2nsnc2c(-c2cc3sc(-c4ccc(-c5cccs5)s4)cc3s2)c1F,-7.587000,-0.917000,5.472000,2.973000,3.635000,1.923000
4,2,2,c1csc(-c2ccc(-c3cccc4nsnc34)o2)c1,-7.585000,-0.838000,5.461000,2.959000,3.309000,0.605000
6,7,7,COC(=O)c1sc2c(-c3ccc(-c4ccc(-c5cccs5)s4)cc3)scc2c1F,-7.585000,-0.092000,5.533000,2.110000,3.924000,2.016000
1,6,5,COc1c2cc(-c3cccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c3)sc2c(OC)c2ccsc12,-7.585000,0.016000,5.120000,1.734000,4.095000,0.743000
1,6,4,COc1c2cc(-c3cccc(-c4c(F)c(F)cc5nccnc45)c3)sc2c(OC)c2ccsc12,-7.584000,-0.298000,5.112000,2.524000,4.091000,0.564000
4,2,3,O=C(O)c1csc(-c2ccc(-c3cccs3)o2)c1,-7.583000,0.118000,5.445000,1.950000,4.028000,1.026000
1,7,6,COc1c2cc(-c3ccc(-c4scc5c4C(=O)N(C)C5=O)cc3)sc2c(OC)c2ccsc12,-7.583000,-0.613000,5.131000,2.688000,3.811000,1.565000
4,4,3,O=C(O)c1csc(-c2cc3sc(-c4cccs4)cc3s2)c1,-7.583000,-0.239000,5.513000,2.236000,3.809000,1.426000
1,8,6,COc1c2cc(-c3ccc4oc(-c5scc6c5C(=O)N(C)C6=O)cc4c3)sc2c(OC)c2ccsc12,-7.581000,-0.537000,5.114000,2.734000,3.916000,1.535000
1,8,9,COc1c2cc(-c3ccc4oc(-c5nncs5)cc4c3)sc2c(OC)c2ccsc12,-7.579000,-0.267000,5.113000,2.435000,4.081000,0.916000
1,8,1,COc1c2cc(-c3ccc4oc(-c5c(F)c(F)cc6nsnc56)cc4c3)sc2c(OC)c2ccsc12,-7.576000,-0.968000,5.113000,3.029000,3.822000,1.547000
1,1,1,COc1c2cc(-c3ccc(-c4c(F)c(F)cc5nsnc45)s3)sc2c(OC)c2ccsc12,-7.576000,-0.916000,5.145000,2.969000,3.758000,1.590000
3,6,6,Cc1ccc(-c2c3cc(-c4cccc(-c5scc6c5C(=O)N(C)C6=O)c4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.575000,-0.362000,5.602000,2.610000,3.911000,0.572000
2,6,9,Cc1ccc(-c2c3cc(-c4cccc(-c5nncs5)c4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.574000,-0.175000,5.624000,2.150000,4.018000,0.636000
4,9,7,COC(=O)c1sc2c(-c3cc(C)c(-c4cccs4)s3)scc2c1F,-7.573000,0.062000,5.410000,2.045000,4.008000,1.470000
1,9,1,COc1c2cc(-c3sc(-c4c(F)c(F)cc5nsnc45)cc3C)sc2c(OC)c2ccsc12,-7.571000,-0.904000,5.121000,2.962000,3.764000,1.283000
3,1,9,Cc1ccc(-c2c3cc(-c4ccc(-c5nncs5)s4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.571000,-0.729000,5.627000,2.700000,3.606000,1.087000
1,8,8,COc1c2cc(-c3ccc4oc(-c5cc6c(ccc7nsnc76)c6nsnc56)cc4c3)sc2c(OC)c2ccsc12,-7.571000,-1.356000,5.109000,3.260000,3.344000,1.053000
4,2,8,c1csc(-c2ccc(-c3cc4c(ccc5nsnc54)c4nsnc34)o2)c1,-7.571000,-1.296000,5.496000,3.192000,3.075000,0.686000
6,2,9,c1csc(-c2ccc(-c3ccc(-c4nncs4)o3)s2)c1,-7.570000,-0.389000,5.525000,2.374000,3.647000,1.431000
2,3,1,Cc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)cc6nsnc56)[se]4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.569000,-0.998000,5.349000,3.234000,3.604000,1.490000
1,8,3,COc1c2cc(-c3ccc4oc(-c5cc(C(=O)O)cs5)cc4c3)sc2c(OC)c2ccsc12,-7.569000,-0.010000,5.114000,2.100000,4.116000,1.041000
4,4,8,c1csc(-c2cc3sc(-c4cc5c(ccc6nsnc65)c5nsnc45)cc3s2)c1,-7.568000,-1.348000,5.552000,3.234000,3.140000,1.137000
1,7,2,COc1c2cc(-c3ccc(-c4cccc5nsnc45)cc3)sc2c(OC)c2ccsc12,-7.568000,-0.732000,5.121000,2.885000,3.869000,1.268000
2,6,3,Cc1ccc(-c2c3cc(-c4cccc(-c5cc(C(=O)O)cs5)c4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.566000,-0.082000,5.633000,2.108000,4.021000,0.582000
1,3,1,COc1c2cc(-c3ccc(-c4c(F)c(F)cc5nsnc45)[se]3)sc2c(OC)c2ccsc12,-7.566000,-0.925000,5.133000,2.970000,3.686000,1.624000
5,5,2,Fc1csc(-c2ccc(-c3ccc(-c4cccc5nsnc45)s3)s2)c1,-7.565000,-0.935000,5.501000,2.999000,3.349000,1.232000
4,9,5,Cc1cc(-c2ccc3c(c2)C(C)(C)c2ccccc2-3)sc1-c1cccs1,-7.565000,0.039000,5.403000,2.060000,3.985000,1.437000
4,2,4,Fc1cc2nccnc2c(-c2ccc(-c3cccs3)o2)c1F,-7.564000,-0.487000,5.437000,2.633000,3.577000,0.714000
2,6,1,Cc1ccc(-c2c3cc(-c4cccc(-c5c(F)c(F)cc6nsnc56)c4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.563000,-0.794000,5.628000,2.878000,3.986000,0.655000
2,7,1,Cc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)cc6nsnc56)cc4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.563000,-0.798000,5.600000,2.896000,4.004000,1.239000
4,1,5,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4cccs4)s3)cc21,-7.563000,-0.028000,5.490000,2.093000,3.936000,1.511000
1,7,8,COc1c2cc(-c3ccc(-c4cc5c(ccc6nsnc65)c5nsnc45)cc3)sc2c(OC)c2ccsc12,-7.562000,-1.222000,5.120000,3.136000,3.545000,1.075000
1,7,4,COc1c2cc(-c3ccc(-c4c(F)c(F)cc5nccnc45)cc3)sc2c(OC)c2ccsc12,-7.562000,-0.353000,5.110000,2.527000,4.038000,1.074000
2,7,9,Cc1ccc(-c2c3cc(-c4ccc(-c5nncs5)cc4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.561000,-0.511000,5.631000,2.462000,3.834000,1.088000
5,4,7,COC(=O)c1sc2c(-c3cc4sc(-c5cc(F)cs5)cc4s3)scc2c1F,-7.559000,-0.201000,5.544000,2.217000,3.839000,1.878000
3,7,1,Cc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)cc6nsnc56)cc4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.558000,-0.832000,5.594000,2.888000,3.864000,1.072000
1,8,2,COc1c2cc(-c3ccc4oc(-c5cccc6nsnc56)cc4c3)sc2c(OC)c2ccsc12,-7.558000,-0.913000,5.108000,3.034000,3.612000,0.899000
2,7,8,Cc1ccc(-c2c3cc(-c4ccc(-c5cc6c(ccc7nsnc76)c6nsnc56)cc4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.558000,-1.285000,5.992000,3.597000,3.597000,1.041000
3,6,8,Cc1ccc(-c2c3cc(-c4cccc(-c5cc6c(ccc7nsnc76)c6nsnc56)c4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.558000,-1.206000,5.596000,3.124000,3.641000,0.625000
2,1,9,Cc1ccc(-c2c3cc(-c4ccc(-c5nncs5)s4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.558000,-0.642000,5.647000,2.667000,3.658000,1.161000
1,9,6,COc1c2cc(-c3sc(-c4scc5c4C(=O)N(C)C5=O)cc3C)sc2c(OC)c2ccsc12,-7.557000,-0.694000,5.157000,2.786000,3.567000,1.544000
1,4,9,COc1c2cc(-c3cc4sc(-c5nncs5)cc4s3)sc2c(OC)c2ccsc12,-7.557000,-0.691000,5.156000,2.641000,3.640000,1.873000
3,6,1,Cc1ccc(-c2c3cc(-c4cccc(-c5c(F)c(F)cc6nsnc56)c4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.556000,-0.803000,5.597000,2.880000,3.917000,0.877000
6,3,6,CN1C(=O)c2csc(-c3ccc(-c4ccc(-c5cccs5)s4)[se]3)c2C1=O,-7.556000,-0.779000,5.486000,2.847000,3.343000,1.488000
2,7,6,Cc1ccc(-c2c3cc(-c4ccc(-c5scc6c5C(=O)N(C)C6=O)cc4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.556000,-0.625000,5.629000,2.685000,3.765000,1.446000
2,6,8,Cc1ccc(-c2c3cc(-c4cccc(-c5cc6c(ccc7nsnc76)c6nsnc56)c4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.556000,-1.197000,5.624000,3.125000,3.655000,0.595000
1,8,5,COc1c2cc(-c3ccc4oc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)cc4c3)sc2c(OC)c2ccsc12,-7.555000,-0.008000,5.104000,1.965000,4.074000,2.260000
4,3,7,COC(=O)c1sc2c(-c3ccc(-c4cccs4)[se]3)scc2c1F,-7.555000,-0.099000,5.477000,2.181000,3.855000,1.472000
3,6,9,Cc1ccc(-c2c3cc(-c4cccc(-c5nncs5)c4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.554000,-0.281000,5.581000,2.244000,3.882000,0.587000
3,8,6,Cc1ccc(-c2c3cc(-c4ccc5oc(-c6scc7c6C(=O)N(C)C7=O)cc5c4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.554000,-0.540000,5.570000,2.732000,3.889000,1.247000
2,6,4,Cc1ccc(-c2c3cc(-c4cccc(-c5c(F)c(F)cc6nccnc56)c4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.553000,-0.275000,5.603000,2.519000,4.071000,0.713000
3,7,9,Cc1ccc(-c2c3cc(-c4ccc(-c5nncs5)cc4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.552000,-0.544000,5.554000,2.485000,3.800000,0.926000
5,4,5,CC1(C)c2ccccc2-c2ccc(-c3cc4sc(-c5cc(F)cs5)cc4s3)cc21,-7.551000,-0.212000,5.532000,2.225000,3.831000,1.930000
3,6,3,Cc1ccc(-c2c3cc(-c4cccc(-c5cc(C(=O)O)cs5)c4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.551000,-0.226000,5.584000,2.232000,3.884000,0.566000
2,9,9,Cc1ccc(-c2c3cc(-c4sc(-c5nncs5)cc4C)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.550000,-0.470000,5.586000,2.610000,3.789000,1.068000
3,7,2,Cc1ccc(-c2c3cc(-c4ccc(-c5cccc6nsnc56)cc4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.550000,-0.750000,5.587000,2.886000,3.822000,1.102000
3,3,9,Cc1ccc(-c2c3cc(-c4ccc(-c5nncs5)[se]4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.549000,-0.774000,5.625000,2.763000,3.550000,1.164000
3,6,7,COC(=O)c1sc2c(-c3cccc(-c4cc5c(-c6ccc(C)s6)c6sccc6c(-c6ccc(C)s6)c5s4)c3)scc2c1F,-7.549000,-0.169000,5.584000,2.166000,3.927000,0.584000
3,6,2,Cc1ccc(-c2c3cc(-c4cccc(-c5cccc6nsnc56)c4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.549000,-0.688000,5.566000,2.875000,3.906000,0.563000
2,6,7,COC(=O)c1sc2c(-c3cccc(-c4cc5c(-c6ccc(C)cc6)c6sccc6c(-c6ccc(C)cc6)c5s4)c3)scc2c1F,-7.549000,-0.061000,5.614000,2.063000,4.029000,0.844000
1,8,4,COc1c2cc(-c3ccc4oc(-c5c(F)c(F)cc6nccnc56)cc4c3)sc2c(OC)c2ccsc12,-7.549000,-0.568000,5.106000,2.706000,3.870000,1.323000
1,9,3,COc1c2cc(-c3sc(-c4cc(C(=O)O)cs4)cc3C)sc2c(OC)c2ccsc12,-7.548000,-0.230000,5.143000,2.379000,3.916000,1.462000
2,3,9,Cc1ccc(-c2c3cc(-c4ccc(-c5nncs5)[se]4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.548000,-0.684000,5.653000,2.730000,3.602000,1.229000
6,9,3,Cc1cc(-c2cc(C(=O)O)cs2)sc1-c1ccc(-c2cccs2)s1,-7.547000,-0.150000,5.390000,2.290000,3.805000,1.347000
1,1,6,COc1c2cc(-c3ccc(-c4scc5c4C(=O)N(C)C5=O)s3)sc2c(OC)c2ccsc12,-7.545000,-0.810000,5.151000,2.834000,3.457000,1.543000
1,7,7,COC(=O)c1sc2c(-c3ccc(-c4cc5c(OC)c6sccc6c(OC)c5s4)cc3)scc2c1F,-7.543000,-0.084000,5.115000,2.127000,4.051000,1.435000
1,8,7,COC(=O)c1sc2c(-c3cc4cc(-c5cc6c(OC)c7sccc7c(OC)c6s5)ccc4o3)scc2c1F,-7.543000,-0.005000,5.109000,1.938000,4.068000,2.239000
2,6,2,Cc1ccc(-c2c3cc(-c4cccc(-c5cccc6nsnc56)c4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.541000,-0.685000,5.599000,2.868000,4.053000,0.917000
3,8,9,Cc1ccc(-c2c3cc(-c4ccc5oc(-c6nncs6)cc5c4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.540000,-0.297000,5.589000,2.154000,3.920000,0.815000
4,1,7,COC(=O)c1sc2c(-c3ccc(-c4cccs4)s3)scc2c1F,-7.539000,-0.054000,5.499000,2.081000,3.897000,1.567000
2,8,9,Cc1ccc(-c2c3cc(-c4ccc5oc(-c6nncs6)cc5c4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.539000,-0.262000,5.598000,2.017000,4.056000,0.771000
1,7,5,COc1c2cc(-c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)cc3)sc2c(OC)c2ccsc12,-7.538000,-0.108000,5.110000,2.126000,4.031000,1.571000
1,4,1,COc1c2cc(-c3cc4sc(-c5c(F)c(F)cc6nsnc56)cc4s3)sc2c(OC)c2ccsc12,-7.537000,-0.939000,5.137000,2.984000,3.661000,1.964000
2,8,3,Cc1ccc(-c2c3cc(-c4ccc5oc(-c6cc(C(=O)O)cs6)cc5c4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.537000,-0.016000,5.597000,1.982000,4.070000,0.893000
4,3,5,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4cccs4)[se]3)cc21,-7.536000,-0.130000,5.457000,2.198000,3.815000,1.435000
3,6,5,Cc1ccc(-c2c3cc(-c4cccc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)c4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.536000,-0.167000,5.587000,2.161000,3.916000,0.551000
3,2,9,Cc1ccc(-c2c3cc(-c4ccc(-c5nncs5)o4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.535000,-0.522000,5.619000,2.462000,3.702000,0.872000
3,7,6,Cc1ccc(-c2c3cc(-c4ccc(-c5scc6c5C(=O)N(C)C6=O)cc4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.534000,-0.659000,5.612000,2.690000,3.724000,1.314000
2,9,1,Cc1ccc(-c2c3cc(-c4sc(-c5c(F)c(F)cc6nsnc56)cc4C)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.533000,-0.907000,5.619000,2.966000,3.734000,1.540000
6,9,8,Cc1cc(-c2cc3c(ccc4nsnc43)c3nsnc23)sc1-c1ccc(-c2cccs2)s1,-7.533000,-1.328000,5.362000,3.215000,3.128000,1.053000
3,9,9,Cc1ccc(-c2c3cc(-c4sc(-c5nncs5)cc4C)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.532000,-0.576000,5.600000,2.629000,3.723000,1.167000
2,6,6,Cc1ccc(-c2c3cc(-c4cccc(-c5scc6c5C(=O)N(C)C6=O)c4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.532000,-0.352000,5.598000,2.591000,3.970000,0.493000
3,1,1,Cc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)cc6nsnc56)s4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.532000,-0.927000,5.603000,2.981000,3.665000,1.242000
3,3,1,Cc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)cc6nsnc56)[se]4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.532000,-0.937000,5.589000,2.980000,3.658000,1.591000
2,8,1,Cc1ccc(-c2c3cc(-c4ccc5oc(-c6c(F)c(F)cc7nsnc67)cc5c4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.532000,-1.008000,5.592000,3.059000,3.755000,1.438000
2,7,3,Cc1ccc(-c2c3cc(-c4ccc(-c5cc(C(=O)O)cs5)cc4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.531000,-0.246000,5.616000,2.223000,3.951000,1.196000
2,1,1,Cc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)cc6nsnc56)s4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.531000,-0.947000,5.613000,2.976000,3.643000,1.626000
2,1,6,Cc1ccc(-c2c3cc(-c4ccc(-c5scc6c5C(=O)N(C)C6=O)s4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.531000,-0.776000,5.635000,2.827000,3.474000,1.463000
1,3,6,COc1c2cc(-c3ccc(-c4scc5c4C(=O)N(C)C5=O)[se]3)sc2c(OC)c2ccsc12,-7.531000,-0.856000,5.155000,2.904000,3.407000,1.504000
2,6,5,Cc1ccc(-c2c3cc(-c4cccc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)c4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.529000,-0.097000,5.601000,2.073000,3.996000,0.892000
3,7,3,Cc1ccc(-c2c3cc(-c4ccc(-c5cc(C(=O)O)cs5)cc4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.529000,-0.343000,5.592000,2.292000,3.856000,0.928000
3,8,1,Cc1ccc(-c2c3cc(-c4ccc5oc(-c6c(F)c(F)cc7nsnc67)cc5c4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.527000,-0.985000,5.547000,3.039000,3.779000,1.448000
1,2,9,COc1c2cc(-c3ccc(-c4nncs4)o3)sc2c(OC)c2ccsc12,-7.525000,-0.436000,5.123000,2.476000,3.746000,1.074000
1,1,3,COc1c2cc(-c3ccc(-c4cc(C(=O)O)cs4)s3)sc2c(OC)c2ccsc12,-7.524000,-0.358000,6.047000,2.440000,3.800000,1.553000
3,7,8,Cc1ccc(-c2c3cc(-c4ccc(-c5cc6c(ccc7nsnc76)c6nsnc56)cc4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.524000,-1.223000,5.562000,3.131000,3.545000,1.090000
3,4,9,Cc1ccc(-c2c3cc(-c4cc5sc(-c6nncs6)cc5s4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.524000,-0.741000,5.594000,2.651000,3.585000,1.742000
2,8,6,Cc1ccc(-c2c3cc(-c4ccc5oc(-c6scc7c6C(=O)N(C)C7=O)cc5c4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.524000,-0.531000,5.589000,2.719000,3.930000,1.608000
3,8,4,Cc1ccc(-c2c3cc(-c4ccc5oc(-c6c(F)c(F)cc7nccnc67)cc5c4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.524000,-0.577000,5.565000,2.706000,3.736000,0.004000
2,7,2,Cc1ccc(-c2c3cc(-c4ccc(-c5cccc6nsnc56)cc4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.524000,-0.741000,5.609000,2.884000,3.822000,1.297000
2,4,9,Cc1ccc(-c2c3cc(-c4cc5sc(-c6nncs6)cc5s4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.523000,-0.640000,5.630000,2.612000,3.660000,1.757000
3,8,3,Cc1ccc(-c2c3cc(-c4ccc5oc(-c6cc(C(=O)O)cs6)cc5c4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.523000,-0.136000,5.549000,2.124000,3.927000,0.744000
3,7,4,Cc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)cc6nccnc56)cc4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.521000,-0.385000,5.555000,2.529000,3.878000,0.810000
6,1,6,CN1C(=O)c2csc(-c3ccc(-c4ccc(-c5cccs5)s4)s3)c2C1=O,-7.521000,-0.750000,5.507000,2.781000,3.347000,1.569000
6,4,9,c1csc(-c2ccc(-c3cc4sc(-c5nncs5)cc4s3)s2)c1,-7.521000,-0.664000,5.518000,2.586000,3.471000,1.765000
2,9,6,Cc1ccc(-c2c3cc(-c4sc(-c5scc6c5C(=O)N(C)C6=O)cc4C)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.520000,-0.679000,5.619000,2.779000,3.558000,1.522000
2,7,4,Cc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)cc6nccnc56)cc4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.520000,-0.359000,5.595000,2.525000,3.983000,0.998000
4,5,6,CN1C(=O)c2csc(-c3ccc(-c4ccc(-c5cccs5)s4)s3)c2C1=O,-7.520000,-0.748000,5.507000,2.781000,3.348000,1.571000
3,8,2,Cc1ccc(-c2c3cc(-c4ccc5oc(-c6cccc7nsnc67)cc5c4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.519000,-0.913000,5.572000,3.034000,3.612000,0.910000
2,8,4,Cc1ccc(-c2c3cc(-c4ccc5oc(-c6c(F)c(F)cc7nccnc67)cc5c4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.519000,-0.574000,5.587000,2.706000,3.877000,1.211000
1,4,6,COc1c2cc(-c3cc4sc(-c5scc6c5C(=O)N(C)C6=O)cc4s3)sc2c(OC)c2ccsc12,-7.519000,-0.805000,5.152000,2.816000,3.460000,1.889000
2,3,6,Cc1ccc(-c2c3cc(-c4ccc(-c5scc6c5C(=O)N(C)C6=O)[se]4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.518000,-0.787000,5.607000,2.875000,3.474000,1.499000
2,8,8,Cc1ccc(-c2c3cc(-c4ccc5oc(-c6cc7c(ccc8nsnc87)c7nsnc67)cc5c4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.518000,-1.353000,5.597000,3.257000,3.339000,1.094000
2,8,2,Cc1ccc(-c2c3cc(-c4ccc5oc(-c6cccc7nsnc67)cc5c4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.517000,-0.913000,5.580000,3.033000,3.603000,0.883000
1,9,8,COc1c2cc(-c3sc(-c4cc5c(ccc6nsnc65)c5nsnc45)cc3C)sc2c(OC)c2ccsc12,-7.516000,-1.337000,5.145000,3.229000,3.199000,1.081000
3,8,5,Cc1ccc(-c2c3cc(-c4ccc5oc(-c6ccc7c(c6)C(C)(C)c6ccccc6-7)cc5c4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.515000,-0.132000,5.535000,1.967000,4.126000,1.819000
3,8,7,COC(=O)c1sc2c(-c3cc4cc(-c5cc6c(-c7ccc(C)s7)c7sccc7c(-c7ccc(C)s7)c6s5)ccc4o3)scc2c1F,-7.515000,-0.102000,5.573000,1.941000,3.942000,0.979000
1,9,9,COc1c2cc(-c3sc(-c4nncs4)cc3C)sc2c(OC)c2ccsc12,-7.515000,-0.634000,5.131000,2.650000,3.606000,1.215000
3,6,4,Cc1ccc(-c2c3cc(-c4cccc(-c5c(F)c(F)cc6nccnc56)c4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.515000,-0.338000,5.561000,2.525000,3.878000,0.522000
1,9,4,COc1c2cc(-c3sc(-c4c(F)c(F)cc5nccnc45)cc3C)sc2c(OC)c2ccsc12,-7.514000,-0.500000,5.129000,2.659000,3.831000,1.084000
6,9,2,Cc1cc(-c2cccc3nsnc23)sc1-c1ccc(-c2cccs2)s1,-7.514000,-0.877000,5.340000,2.992000,3.379000,1.091000
3,4,1,Cc1ccc(-c2c3cc(-c4cc5sc(-c6c(F)c(F)cc7nsnc67)cc5s4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.512000,-0.941000,5.588000,2.979000,3.615000,1.968000
3,8,8,Cc1ccc(-c2c3cc(-c4ccc5oc(-c6cc7c(ccc8nsnc87)c7nsnc67)cc5c4)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.511000,-1.355000,5.584000,3.259000,3.340000,1.112000
4,4,5,CC1(C)c2ccccc2-c2ccc(-c3cc4sc(-c5cccs5)cc4s3)cc21,-7.511000,-0.122000,5.456000,2.127000,3.867000,1.931000
1,1,4,COc1c2cc(-c3ccc(-c4c(F)c(F)cc5nccnc45)s3)sc2c(OC)c2ccsc12,-7.511000,-0.560000,5.133000,2.677000,3.696000,1.010000
2,1,3,Cc1ccc(-c2c3cc(-c4ccc(-c5cc(C(=O)O)cs5)s4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.511000,-0.362000,5.590000,2.432000,3.785000,1.235000
2,8,7,COC(=O)c1sc2c(-c3cc4cc(-c5cc6c(-c7ccc(C)cc7)c7sccc7c(-c7ccc(C)cc7)c6s5)ccc4o3)scc2c1F,-7.511000,-0.036000,5.572000,1.952000,4.018000,1.488000
3,9,1,Cc1ccc(-c2c3cc(-c4sc(-c5c(F)c(F)cc6nsnc56)cc4C)sc3c(-c3ccc(C)s3)c3ccsc23)s1,-7.511000,-0.913000,5.538000,2.982000,3.677000,1.179000
4,4,7,COC(=O)c1sc2c(-c3cc4sc(-c5cccs5)cc4s3)scc2c1F,-7.510000,-0.117000,5.461000,2.122000,3.865000,1.871000
2,3,3,Cc1ccc(-c2c3cc(-c4ccc(-c5cc(C(=O)O)cs5)[se]4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.509000,-0.402000,5.551000,2.499000,3.747000,1.480000
5,5,8,Fc1csc(-c2ccc(-c3ccc(-c4cc5c(ccc6nsnc65)c5nsnc45)s3)s2)c1,-7.508000,-1.346000,5.523000,3.229000,3.103000,1.299000
6,4,6,CN1C(=O)c2csc(-c3cc4sc(-c5ccc(-c6cccs6)s5)cc4s3)c2C1=O,-7.508000,-0.759000,5.482000,2.777000,3.383000,1.829000
2,2,9,Cc1ccc(-c2c3cc(-c4ccc(-c5nncs5)o4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.508000,-0.449000,5.610000,2.427000,3.752000,1.481000
2,4,1,Cc1ccc(-c2c3cc(-c4cc5sc(-c6c(F)c(F)cc7nsnc67)cc5s4)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1,-7.508000,-0.957000,5.607000,2.988000,3.587000,1.950000
1,9,2,COc1c2cc(-c3sc(-c4cccc5nsnc45)cc3C)sc2c(OC)c2ccsc12,-7.508000,-0.898000,5.143000,3.001000,3.466000,1.136000
1,5,1,COc1c2cc(-c3ccc(-c4ccc(-c5c(F)c(F)cc6nsnc56)s4)s3)sc2c(OC)c2ccsc12,-7.505000,-0.919000,5.141000,2.968000,3.628000,1.976000
